date,persons,record_time,shownotes,title
Feb 13-2013,"['naoya', 'miyagawa']",52:53,"['5by5,', 'Mule Radio', 'Instapaper for Android', 'LTSV,', 'LTSV FAQ', 'HackerNews', 'Flipboard', '開発メモ#2 : AWS でのホスト / クラウドネイティブなデプロイ', 'Vagrant', 'RubyMotion', 'Getting To Know RubyMotion With Laurent Sansonetti', 'Topaz A New Ruby', 'Moe', 'Perl 7,', 'Perl 7 Final thoughts']","1: Podcasting, LTSV, RubyMotion (伊藤直也)"
Feb 20-2013,"['kenn', 'miyagawa']",47:56,"['Macbook Pro, Air update', 'Crashplan', 'Arq', 'Boxen', 'rails-dev-box', 'Rails is omakase', 'Railsconf 2012 Keynote by DHH', 'MySQL 5.6', 'Redis', ""Heroku's Ugly Secret,"", 'Heroku Routing Performance Update', 'New Relic', 'Cookpad migrates to VPC', 'Digital Ocean']","2: Rails, Redis, VPS (Kenn Ejima)"
Feb 27-2013,"['frsyuki', 'kiyoto', 'miyagawa']",40:39,[],"3: MessagePack (frsyuki, kiyoto)"
Mar 06-2013,"['satoru', 'miyagawa']",31:04,[],"4: bkノート, Yak Shaving, Code Reviews (高林哲)"
Mar 13-2013,"['matz', 'miyagawa']",35:12,"['Ruby 20周年', 'Ruby 2.0.0-p0 released', 'COOKPAD migrated to Ruby 1.9', 'Matz on Ruby 2.0 at Waza', 'Ruby Implementers Meeting', 'The Jon Orwant mug throwing incident at P5P meeting', 'Perl5-6 Reunification Summit / Mug throwing']",5: Ruby 2.0 (まつもとゆきひろ)
Mar 21-2013,"['naoya', 'miyagawa']",41:20,[],"6: Kindle Publishing, Google Reader Shutdown (Naoya Ito)"
Apr 03-2013,"['yusukebe', 'miyagawa']",40:06,"['Shibuya.pm', 'Perl Casual', 'Blog Hacks', 'Plagger', 'PlaggerとCatalystでCDTVならぬCDTube作ってみた', 'Dist::Milla', 'ノマドならルノアールがはかどるよねぇ〜っていう10個の理由', 'Kindle: Perlについて語ろう', 'PSGI/Plack', 'Mojolicious', 'YAPC::NA 2013', 'Donglegate at PyCon 2013']","7: Perl Community, YAPC (yusukebe)"
Apr 16-2013,"['naoya', 'satoru', 'miyagawa']",26:50,"['Railscasts', 'Milla screencast', 'ドットインストール', 'Listen-IT', 'hogeの話']","8: Screencasts, Pair Programming, English (伊藤直也 高林哲)"
May 08-2013,"['obra', 'miyagawa']",34:45,"['OSDC.TW', 'cpanm 1.6/1.7 at OSDC.TW', 'So I make a keyboard', 'KBC Poker 60%', 'μTRON キーボード', 'TRON プロジェクト', 'Building a Keyboard: Part 2', 'FabCafe', 'Mark 6 keyboard Design', 'Keyboard.IO']",9: Making your own keyboard (Jesse Vincent)
May 11-2013,"['mrkn', 'r7kamura', 'miyagawa']",47:42,[],"10: RailsConf, Ruby 2.0, Rails 4 (mrkn, r7kamura)"
May 17-2013,"['kenn', 'mootoh', 'miyagawa']",46:22,[],"11: Google I/O 2013 (kenn, mootoh)"
May 27-2013,"['lestrrat', 'tokuhirom', 'miyagawa']",56:06,"['Perl 5.18.0 is released', 'CVE-2013-1667 rehash flaw in Perl', 'Deprecating CGI.pm in perl core', 'Perl 5.18 has 10% performance gain with mojolicious apps', 'plenv', 'YAPC::NA', 'YAPC::Asia', 'カンファレンスカンファレンス', 'YAPC::Asia 会場']","12: Perl 5.18, YAPC::Asia (lestrrat, tokuhirom)"
Jun 11-2013,"['kenn', 'hak', 'miyagawa']",46:55,[],"13: WWDC 2013 (Kenn Ejima, Hakuro Matsuda)"
Jun 22-2013,"['naoya', 'gosukenator', 'miyagawa']",1:02:13,"['Docker', 'LXC Linux Containers', 'aufs', 'Inside Sqale backend', 'Heroku Cedar Stack', 'Dokku', 'Heroku Buildpacks', 'Dockerfile', 'miyagawa/docker-plenv-vanilla', 'Vagrant', 'serverspec', 'Food fight show', 'Test-Driven infrastrcture with Chef', 'Test Kitchen', 'ansible', 'sunzi', 'CloudFoundry', 'lleval', 'autodoc', 'WEB+DB PRESS Vol.75']","14: DevOps with Docker, chef and serverspec (naoya, mizzy)"
Jul 07-2013,"['typester', 'miyagawa']",40:20,[],"15: After Google Reader, DIY Blogging, The Go language (typester)"
Aug 01-2013,"['naoya', 'nagayama', 'miyagawa']",46:11,[],"16: Designing new Rebuild.fm (Naoya Ito, nagayama)"
Aug 09-2013,"['tokuhirom', 'miyagawa']",48:51,"['Carton 1.0 is released', 'Carton at OSCON 2013', 'Carton 1.0 時代の Web アプリケーション開発フロー', 'cask.el', 'YAPC::Asia 2013 tickets', 'YAPC::Asia Mobile schedule', 'Future Perl - YAPC::NA 2013 に参加して', 'MoarVM: A VM for NQP and Rakudo', 'tokuhirom/pvip', 'Perl6 Roast', 'RubySpec', 'linenoise', 'Caroline']","17: Carton, YAPC and Perl 6 (tokuhirom)"
Aug 30-2013,"['kenn', 'miyagawa']",43:55,[],"18: Las Vegas, Coworking, JOBS (Kenn Ejima)"
Sep 06-2013,"['sekimura', 'miyagawa']",53:36,[],"19: Accents, Git Workflow, Logging (sekimura)"
Sep 12-2013,"['kenn', 'hak', 'miyagawa']",52:03,[],"20: iPhone 5s (Kenn Ejima, Hakuro Matsuda)"
Sep 22-2013,"['naoya', 'miyagawa']",20:19,[],21: On the Launch of iPhone 5s and iOS 7 (Naoya Ito)
Oct 11-2013,"['drikin', 'miyagawa']",44:25,"['Wireless Charging now becomes real', 'RAVPower Qi 2-in-1', 'iPhone 5sを無線充電Qi対応にするケースで失敗した件', 'Qualcomm joins Power Matters Alliance', 'HP Chromebook 11', 'Secure Shell Chrome extension', 'The Amazing Products of Weird SONY', 'ソニーの新発想レンズカメラ QX-100', ""Sony's QX100 is fantastic, impractical"", 'ソニー Camera Remote API']","22: The Weird Gadgets: Qi, Google and SONY (drikin)"
Oct 24-2013,"['kenn', 'hak', 'miyagawa']",58:23,[],"23: iPad, Mavericks and Macbook Pro (Kenn Ejima, Hakuro Matsuda)"
Oct 31-2013,"['typester', 'miyagawa']",51:34,[],"24: Go, Mavericks, LinkedIn Intro (typester)"
Nov 07-2013,"['naoya', 'gosukenator', 'miyagawa']",48:04,"['Rebuild 14: DevOps with Docker', 'mizzy.org: インフラ系技術の流れ', 'Immutable Infrastructure and Disposable Components', 'Immutable Infrastructure について', 'Blue Green Deployment', 'Packer', 'Serf', 'Serf vs. Chef/Puppet', 'Automatic /etc/hosts management with Serf', 'Gossip protocol', 'Docker and the Timely Pivot', 'Food Fight: Immutable Infrastructure', 'Chaos Monkey', 'Docker 0.6.5: Link Containers']","25: Immutable Infrastructure (Naoya Ito, Gosuke Miyashita)"
