iter	RMSE	MAE
0	23.73674134	21.88285743
1	23.15124489	21.28870832
2	22.58883135	20.70926788
3	22.03205962	20.16253629
4	21.48939719	19.5917526
5	20.91601167	19.0237081
6	20.38884274	18.50800318
7	19.90204353	18.00283887
8	19.4013829	17.50528482
9	18.91698919	17.0156237
10	18.44839802	16.53766026
11	18.00899518	16.09707556
12	17.58150263	15.65078668
13	17.14400149	15.2117469
14	16.72853076	14.80420974
15	16.32824587	14.39622909
16	15.93666962	14.00088562
17	15.55892502	13.62331062
18	15.19861266	13.2519267
19	14.82108009	12.87712506
20	14.4708273	12.52797212
21	14.14733329	12.18354134
22	13.83325472	11.84430615
23	13.49720479	11.51800252
24	13.18074665	11.21510875
25	12.89487343	10.91182194
26	12.60754418	10.62662901
27	12.32966309	10.34747624
28	12.06487422	10.08801002
29	11.79689197	9.826265494
30	11.53823796	9.565901744
31	11.2847551	9.319264096
32	11.02932295	9.06558086
33	10.80377007	8.825919314
34	10.55442705	8.586523639
35	10.32873793	8.370452657
36	10.11347847	8.154977575
37	9.902823083	7.951116088
38	9.701197998	7.742363167
39	9.510738792	7.544202966
40	9.327461809	7.368700949
41	9.12904047	7.172948689
42	8.945512652	6.993277323
43	8.790728143	6.812005255
44	8.612402724	6.644157231
45	8.43380367	6.471868824
46	8.25871475	6.305441175
47	8.093480522	6.148905495
48	7.952990321	6.003074199
49	7.796624737	5.850418347
50	7.646715626	5.708255244
51	7.504869951	5.569182937
52	7.385632819	5.429861969
53	7.246245924	5.295055148
54	7.13122402	5.184072436
55	7.01554253	5.068966446
56	6.895065011	4.95443513
57	6.780853372	4.844329948
58	6.672927257	4.736633933
59	6.558049466	4.624683705
60	6.44813512	4.521092971
61	6.35260504	4.42386855
62	6.244469636	4.327788923
63	6.147666143	4.241141758
64	6.0498326	4.154723137
65	5.956637082	4.071336443
66	5.876219042	4.004829384
67	5.775091989	3.926986882
68	5.689336301	3.859775328
69	5.607806994	3.795562367
70	5.528807228	3.730158233
71	5.455234402	3.6657351
72	5.391814927	3.607804328
73	5.334235028	3.554054838
74	5.271115372	3.496371703
75	5.184529951	3.437184755
76	5.123098551	3.39106194
77	5.063924882	3.3445304
78	5.003438988	3.295770428
79	4.94335284	3.248603821
80	4.889287448	3.200871513
81	4.836343926	3.161364455
82	4.782883003	3.124917828
83	4.727066526	3.090519217
84	4.68397084	3.056536362
85	4.629920034	3.016854419
86	4.591376598	2.982418865
87	4.541373205	2.9449953
88	4.479192895	2.909216313
89	4.42947517	2.877660607
90	4.385349344	2.852473643
91	4.347788184	2.826819256
92	4.30511925	2.795335292
93	4.255741429	2.760751797
94	4.205844266	2.731960246
95	4.166159286	2.70769862
96	4.128706923	2.677496953
97	4.099983259	2.658859287
98	4.064350395	2.636655797
99	4.028135837	2.618372435
100	3.977083773	2.593825899
101	3.949435396	2.575810562
102	3.92121375	2.556909431
103	3.883211281	2.537630917
104	3.854085534	2.519761668
105	3.827690346	2.502614066
106	3.798246101	2.484118451
107	3.766717755	2.464804516
108	3.739735964	2.447801622
109	3.719098687	2.434142242
110	3.704702363	2.42430587
111	3.680545653	2.41275621
112	3.655610658	2.397024972
113	3.634193585	2.382867186
114	3.613951835	2.373512774
115	3.596967302	2.362202378
116	3.568616942	2.34983793
117	3.54753	2.339855411
118	3.526451449	2.329605646
119	3.508952759	2.31824108
120	3.489517311	2.306777184
121	3.46877782	2.294770969
122	3.447569822	2.280143629
123	3.428471928	2.27067917
124	3.412202958	2.261625014
125	3.396654645	2.252620204
126	3.384501762	2.24564726
127	3.371285104	2.237760648
128	3.355957933	2.230318747
129	3.33680129	2.221227573
130	3.314415504	2.211208942
131	3.300546278	2.203208514
