iter	Passed	Remaining
0	6	6133
1	10	5039
2	14	4769
3	17	4469
4	22	4494
5	24	4048
6	28	4013
7	32	4027
8	38	4250
9	49	4922
10	57	5205
11	67	5519
12	74	5621
13	77	5481
14	82	5403
15	86	5302
16	90	5227
17	95	5182
18	99	5123
19	101	4984
20	106	4980
21	111	4958
22	120	5134
23	129	5252
24	134	5248
25	138	5202
26	146	5270
27	153	5328
28	162	5434
29	171	5542
30	178	5584
31	182	5532
32	187	5497
33	192	5466
34	197	5442
35	201	5402
36	205	5348
37	209	5301
38	213	5253
39	217	5220
40	221	5174
41	225	5141
42	229	5107
43	231	5039
44	236	5011
45	239	4958
46	243	4928
47	247	4907
48	252	4894
49	256	4868
50	260	4839
51	263	4812
52	268	4795
53	272	4769
54	276	4755
55	280	4723
56	284	4701
57	289	4700
58	300	4798
59	306	4805
60	310	4776
61	314	4761
62	318	4739
63	323	4737
64	331	4762
65	333	4722
66	337	4701
67	341	4682
68	346	4671
69	348	4632
70	352	4614
71	356	4597
72	360	4571
73	364	4559
74	368	4541
75	372	4524
76	381	4578
77	387	4581
78	393	4592
79	398	4580
80	403	4582
81	412	4612
82	415	4595
83	419	4576
84	423	4560
85	428	4553
86	430	4520
87	435	4517
88	439	4502
89	445	4500
90	449	4485
91	453	4474
92	456	4456
93	461	4446
94	466	4442
95	471	4436
96	474	4418
97	478	4406
98	483	4397
99	487	4386
100	491	4378
101	495	4364
102	500	4356
103	504	4346
104	509	4340
105	513	4328
106	517	4315
107	522	4319
108	527	4310
109	531	4300
110	535	4291
111	540	4285
112	551	4326
113	559	4350
114	574	4421
115	618	4712
116	624	4709
117	628	4696
118	633	4690
119	639	4686
120	643	4673
121	647	4658
122	650	4639
123	655	4628
124	659	4615
125	663	4600
126	667	4585
127	672	4579
128	676	4567
129	680	4556
130	685	4547
131	689	4536
132	693	4520
133	697	4506
134	700	4490
135	705	4481
136	709	4468
137	713	4454
138	717	4442
139	719	4417
140	723	4405
141	727	4395
142	731	4383
143	735	4372
144	739	4362
145	744	4352
146	748	4342
147	753	4334
148	756	4323
149	758	4298
150	762	4289
151	766	4277
152	775	4291
153	779	4281
154	783	4271
155	788	4264
156	792	4254
157	796	4243
158	800	4234
159	804	4222
160	808	4214
161	812	4202
162	817	4195
163	821	4188
164	824	4171
165	832	4181
166	851	4245
167	860	4259
168	864	4248
169	869	4246
170	879	4263
171	883	4252
172	887	4241
173	891	4233
174	895	4222
175	899	4211
176	903	4199
177	907	4189
178	911	4180
179	915	4169
180	916	4148
181	921	4141
182	925	4131
183	929	4124
184	935	4121
185	939	4112
186	944	4104
187	947	4093
188	951	4081
189	955	4072
190	959	4063
191	963	4054
192	967	4045
193	980	4074
194	995	4111
195	1003	4115
196	1011	4123
197	1021	4135
198	1029	4144
199	1031	4127
200	1042	4144
201	1049	4144
202	1056	4147
203	1061	4140
204	1066	4136
205	1070	4127
206	1075	4118
207	1077	4102
208	1081	4093
209	1085	4082
210	1088	4071
211	1092	4061
212	1096	4050
213	1103	4052
214	1106	4038
215	1111	4033
216	1115	4025
217	1123	4029
218	1128	4024
219	1132	4016
220	1136	4006
221	1140	3998
222	1144	3988
223	1148	3978
224	1154	3975
225	1173	4018
226	1185	4038
227	1187	4022
228	1193	4019
229	1201	4022
230	1206	4016
231	1210	4005
232	1214	3998
233	1219	3992
234	1223	3983
235	1228	3975
236	1232	3966
237	1236	3957
238	1240	3950
239	1247	3951
240	1251	3941
241	1255	3931
242	1261	3928
243	1265	3922
244	1269	3913
245	1275	3908
246	1279	3899
247	1283	3890
248	1286	3880
249	1290	3871
250	1294	3863
251	1299	3856
252	1302	3846
253	1306	3838
254	1308	3824
255	1312	3814
256	1316	3806
257	1320	3797
258	1324	3790
259	1327	3777
260	1328	3761
261	1331	3750
262	1336	3746
263	1340	3738
264	1344	3729
265	1347	3719
266	1351	3710
267	1356	3703
268	1360	3696
269	1364	3689
270	1368	3680
271	1371	3670
272	1373	3657
273	1376	3648
274	1380	3640
275	1383	3628
276	1386	3619
277	1388	3605
278	1392	3597
279	1395	3589
280	1397	3576
281	1402	3569
282	1406	3562
283	1410	3555
284	1412	3543
285	1416	3535
286	1418	3523
287	1422	3516
288	1424	3505
289	1430	3503
290	1433	3491
291	1435	3479
292	1437	3467
293	1440	3459
294	1444	3451
295	1445	3438
296	1455	3444
297	1465	3451
298	1468	3443
299	1471	3432
300	1475	3425
301	1478	3418
302	1480	3405
303	1482	3395
304	1487	3389
305	1489	3377
306	1490	3365
307	1493	3355
308	1500	3356
309	1504	3348
310	1510	3346
311	1518	3348
312	1523	3344
313	1527	3337
314	1531	3330
315	1565	3389
316	1573	3390
317	1578	3385
318	1582	3377
319	1588	3375
320	1590	3364
321	1597	3363
322	1617	3391
323	1633	3407
324	1641	3408
325	1650	3413
326	1659	3414
327	1668	3419
328	1674	3415
329	1688	3428
330	1694	3425
331	1702	3424
332	1706	3417
333	1713	3417
334	1720	3414
335	1769	3496
336	1773	3489
337	1777	3480
338	1789	3489
339	1791	3478
340	1796	3471
341	1797	3458
342	1799	3446
343	1801	3434
344	1802	3422
345	1804	3410
346	1808	3403
347	1811	3394
348	1812	3381
349	1814	3370
350	1817	3360
351	1819	3349
352	1824	3343
353	1826	3332
354	1829	3324
355	1835	3321
356	1840	3315
357	1843	3305
358	1844	3294
359	1849	3288
360	1853	3280
361	1863	3283
362	1877	3294
363	1880	3285
364	1885	3280
365	1887	3270
366	1889	3259
367	1895	3254
368	1901	3251
369	1902	3239
370	1903	3227
371	1905	3217
372	1907	3206
373	1909	3195
374	1910	3184
375	1915	3178
376	1919	3171
377	1924	3166
378	1928	3159
379	1930	3149
380	1934	3142
381	1938	3135
382	1945	3134
383	1953	3133
384	1957	3126
385	1965	3127
386	1967	3116
387	1969	3106
388	1977	3105
389	1979	3095
390	1981	3085
391	1982	3075
392	1984	3064
393	1989	3059
394	1993	3053
395	2001	3053
396	2007	3049
397	2013	3045
398	2014	3034
399	2018	3027
400	2024	3023
401	2027	3015
402	2030	3008
403	2042	3012
404	2045	3005
405	2049	2997
406	2058	2999
407	2063	2994
408	2066	2985
409	2071	2981
410	2074	2972
411	2079	2967
412	2082	2960
413	2085	2951
414	2087	2941
415	2089	2932
416	2090	2923
417	2094	2916
418	2095	2905
419	2097	2896
420	2101	2889
421	2105	2884
422	2107	2874
423	2109	2865
424	2111	2856
425	2113	2847
426	2115	2838
427	2116	2829
428	2119	2821
429	2120	2811
430	2123	2803
431	2125	2794
432	2127	2785
433	2129	2776
434	2133	2771
435	2137	2765
436	2143	2761
437	2151	2760
438	2152	2751
439	2157	2746
440	2159	2737
441	2160	2727
442	2161	2718
443	2163	2709
444	2165	2700
445	2169	2694
446	2171	2685
447	2173	2677
448	2176	2670
449	2177	2661
450	2179	2653
451	2183	2647
452	2185	2638
453	2186	2630
454	2190	2623
455	2195	2619
456	2197	2611
457	2199	2602
458	2200	2594
459	2204	2587
460	2208	2582
461	2210	2573
462	2212	2565
463	2213	2556
464	2215	2548
465	2217	2541
466	2222	2536
467	2226	2531
468	2228	2523
469	2230	2515
470	2233	2508
471	2236	2501
472	2237	2493
473	2239	2485
474	2241	2477
475	2243	2469
476	2245	2461
477	2246	2453
478	2248	2445
479	2250	2438
480	2252	2430
