# 家計調査 家計収支編 二人以上の世帯 全国 アイスクリーム・シャーベット【円】
年,月,アイスクリーム
2003,1,331
2003,2,268
2003,3,365
2003,4,492
2003,5,632
2003,6,730
2003,7,821
2003,8,1057
2003,9,724
2003,10,430
2003,11,363
2003,12,415
2004,1,351
2004,2,322
2004,3,367
2004,4,508
2004,5,667
2004,6,772
2004,7,1148
2004,8,1080
2004,9,653
2004,10,434
2004,11,358
2004,12,388
2005,1,323
2005,2,283
2005,3,357
2005,4,543
2005,5,667
2005,6,812
2005,7,1037
2005,8,1179
2005,9,739
2005,10,453
2005,11,315
2005,12,359
2006,1,322
2006,2,279
2006,3,373
2006,4,457
2006,5,602
2006,6,748
2006,7,973
2006,8,1193
2006,9,654
2006,10,493
2006,11,336
2006,12,392
2007,1,347
2007,2,292
2007,3,387
2007,4,466
2007,5,652
2007,6,768
2007,7,908
2007,8,1279
2007,9,784
2007,10,469
2007,11,324
2007,12,405
2008,1,346
2008,2,288
2008,3,404
2008,4,501
2008,5,689
2008,6,727
2008,7,1182
2008,8,1190
2008,9,691
2008,10,477
2008,11,355
2008,12,414
2009,1,351
2009,2,303
2009,3,386
2009,4,569
2009,5,768
2009,6,819
2009,7,1072
2009,8,1215
2009,9,723
2009,10,495
2009,11,402
2009,12,440
2010,1,362
2010,2,305
2010,3,383
2010,4,464
2010,5,752
2010,6,841
2010,7,1211
2010,8,1451
2010,9,864
2010,10,504
2010,11,351
2010,12,423
2011,1,346
2011,2,289
2011,3,329
2011,4,462
2011,5,672
2011,6,791
2011,7,1265
2011,8,1241
2011,9,767
2011,10,516
2011,11,393
2011,12,423
2012,1,339
2012,2,274
2012,3,385
2012,4,524
2012,5,671
2012,6,798
2012,7,1165
2012,8,1332
2012,9,849
2012,10,515
2012,11,326
2012,12,414
