title,description,tags,location,bio,organization,shirt_size,notes
5つの技術コミュニティスタッフを数年経験して感じた、今後のコミュニティ進化形とは？,技術コミュニティーの歴史や、複数の技術コミュニティのスタッフをして感じた、メリットやデメリット、その種類や共通点や違いについて共有します。その上で、技術コミュニティに向いている人の特徴を紹介したり、今後の技術コミュニティの進化を共有するので、自分が適合する方向への参考にしていただければと思います。,Community building and human interaction,,,,,"アジェンダ案
=====

自己紹介
-----

来場者への質問
-----

* 技術コミュニティに参加したことがある人
* 技術コミュニティのスタッフをしたことがある人
* 複数の技術コミュニティスタッフをしたことがある人

技術コミュニティーの歴史
----

* 技術コミュニティーの歴史
* PyConコミュニティー（国内外）の歴史
* Pythonコミュニティーの歴史

スタッフをしている技術コミュニティの特徴
----

* Start Python CLUB
* fin-py
* X-Tech JAWS
* Fin-JAWS
* その他イベントの企画

技術コミュニティのスタッフをしたきっかけやモチベーション
---

### きっかけ

###  モチベーション

技術コミュニティスタッフのメリット・デメリット
-----

### メリット

* 学びの負担が減る、知識範囲の拡大
* 有識者の知人ができる
* 繋がり：SNS数の増大、イノベーションへのコントリビュート、社会課題の解決、社内ビジネスとの提携
* 個人のお金（兼業）：イベント依頼、書籍、招待
* （完全な裏方なのになぜか）名前が売れる。
* 依頼するための基礎能力（プログラミング能力、周辺技術能力の向上）
* ツールの有効活用
* 礼儀作法、交渉力、各種手続き・調達力、文章力の向上
* 無茶振り・無茶ぶられ

### デメリット

* 体力の限界
* コミュニケーション数の爆発
* コミュニティの運営自体が目的になる

複数の技術コミュニティスタッフを経験したてわかった事
-----

* 大型と小型、パブリックとプライベート開催、社内のみコミュニティの特徴
* 同じものはどれ一つとしてない
* 互いの技術コミュニティの知見や失敗を交差させることでさらに向上
* 重い技術コミュニティ・軽い技術コミュニティーへの均衡
* 一つのものに依存することもまたリスク

コミュニティに向く人、不向きな人
-----

* 技術どのように学ぶべきかの簡単なアンケート

技術コミュニティの進化について
-----

* 世界の技術コミュニティ状況
* 技術コミュニティの効果は組織や社会にも影響を与える（オープンイノベーション、アクセラレーター、シビックテック）
* 技術コミュニティ進化の中でPythonが与える効果

まとめ
-----

---------

参考実績
=====

* [PyCon JP 2016トーク発表「Blockchain for Pythonistas」](https://speakerdeck.com/abenben/blockchain-for-pythonistas)
* [Pythonコミュニティ:Start Python CLUB（企画スタッフ）](https://startpython.connpass.com)
* [Pythonコミュニティ:fin-py（企画スタッフ）](https://fin-py.connpass.com)
* [技術（クラウド）コミュニティ:X-Tech JAWS（企画スタッフ）](https://xtechjaws.doorkeeper.jp)
* [技術（クラウド）コミュニティ:Fin-JAWS（企画スタッフ）](https://fin-jaws.doorkeeper.jp)
* [技術（自然言語処理、AI）コミュニティ（企画支援）:found IT](http://foundit.tokyo)
* [テックイベント BLOCKCHAIN SUNDAY（企画支援・モデレーター）](http://wired.jp/business-bootcamp/2017/blockchain/)
* [テックイベント TOAワールドツアー東京2018（企画支援）](http://eventregist.com/e/toaworldtour2018?lang=ja_JP)"
A Condensed Lecture on Linear Algebra using SymPy,"# A Condensed Lecture on Linear Algebra using SymPy

## SymPyとは？

- SymPy: Python library for symbolic mathematics
- `pip install sympy`

## 行列とベクトル

- ベクトルの定義
- 行列の定義
- 行列とベクトルの演算
- 行列と線型写像（超重要）

## 行列式

- 置換群
- 行列式の定義
- 行列式の性質
- Cramerの解法による連立一次方程式

## ベクトル空間

- ベクトルの一次独立
- 正規直交基底
- 計量ベクトル空間

## 行列の標準化

- 行列の固有値
- 固有多項式
- 行列の対角化
- 二次形式","Python in education science and maths, Mathematics, SymPy, Linear Algebra",,,,,"## 備考
- 学部・修士課程では数学を学んでいました。発表内容は理解しています。

## 過去の発表履歴

### 2016年

- 「PyConJP で感じる私の成長」PyCon JP 2016 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/pyconjp-degan-zirusi-falsecheng-chang) [Youtube](https://youtu.be/O1-9Yv9cB8Q?t=16m24s)

### 2017年

- 「Effective Python in Python 3.6」 Python 3.6 Release Party Lightning talk [Slide](https://speakerdeck.com/hayaosuzuki/effective-python-in-python-3-dot-6)

- 「How to Write Functions in Python」PyCon JP Reject Conference 2017 [Slide](https://speakerdeck.com/hayaosuzuki/how-to-write-functions-in-python)

- 「Respect the Built-in Names」PyCon JP 2017 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/respect-the-built-in-names) [Youtube](https://youtu.be/cUewj2kRrbk?t=13m13s)

- 「技術書査読・校正の現場から」BPStudy #123 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/ji-shu-shu-cha-du-xiao-zheng-falsexian-chang-kara)

### 2018年

- 「レガシーDjangoアプリケーションの現代化」DjangoCongress JP 2018 [Slide](https://speakerdeck.com/hayaosuzuki/a-modernization-of-legacy-django-based-applications)

## 技術書の査読

- 『[Effective Python](https://www.oreilly.co.jp/books/9784873117560/)』オライリージャパン 2016年1月
- 『[アルゴリズムクイックリファレンス 第2版](https://www.oreilly.co.jp/books/9784873117850/)』オライリージャパン 2016年12月
- 『[初めてのPHP](https://www.oreilly.co.jp/books/9784873117935/)』オライリージャパン 2017年3月
- 『[Effective Debugging](https://www.oreilly.co.jp/books/9784873117997/)』オライリージャパン 2017年6月
- 『[スラスラわかるPython](http://www.shoeisha.co.jp/book/detail/9784798151090)』翔泳社 2017年8月
- 『[PythonとJavaScriptではじめるデータビジュアライゼーション](https://www.oreilly.co.jp/books/9784873118086/)』オライリージャパン 2017年8月
- 『[初めてのPerl 第7版](https://www.oreilly.co.jp/books/9784873118246/)』オライリージャパン 2018年1月
- 『[Head First Python 第2版](https://www.oreilly.co.jp/books/9784873118291/)』オライリージャパン 2018年3月
- 『[Pythonデータサイエンスハンドブック](https://www.oreilly.co.jp/books/9784873118413/)』オライリージャパン 2018年5月"
All about cmath Module,"# All about cmath Module

- 複素数とは?
- cmath モジュールとは？
- 極座標変換
- 指数函数、対数函数、三角関数、双曲線函数
- 分枝切断とは？
- それで、結局cmathモジュールって使えるの？
","Python in education science and maths, Mathematics, Complex Numbers",,,,,"## 備考
- Pythonと数学について話せる人はそれほど多くないと思う。複素数についてはそれなりに知っているが、数値計算にまつわる事柄（特に分枝切断）は今後調べることになる。
- PyCon JPのLTはたくさん経験があります

## 過去の発表履歴

### 2016年

- 「PyConJP で感じる私の成長」PyCon JP 2016 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/pyconjp-degan-zirusi-falsecheng-chang) [Youtube](https://youtu.be/O1-9Yv9cB8Q?t=16m24s)

### 2017年

- 「Effective Python in Python 3.6」 Python 3.6 Release Party Lightning talk [Slide](https://speakerdeck.com/hayaosuzuki/effective-python-in-python-3-dot-6)

- 「How to Write Functions in Python」PyCon JP Reject Conference 2017 [Slide](https://speakerdeck.com/hayaosuzuki/how-to-write-functions-in-python)

- 「Respect the Built-in Names」PyCon JP 2017 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/respect-the-built-in-names) [Youtube](https://youtu.be/cUewj2kRrbk?t=13m13s)

- 「技術書査読・校正の現場から」BPStudy #123 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/ji-shu-shu-cha-du-xiao-zheng-falsexian-chang-kara)

### 2018年

- 「レガシーDjangoアプリケーションの現代化」DjangoCongress JP 2018 [Slide](https://speakerdeck.com/hayaosuzuki/a-modernization-of-legacy-django-based-applications)

## 技術書の査読

- 『[Effective Python](https://www.oreilly.co.jp/books/9784873117560/)』オライリージャパン 2016年1月
- 『[アルゴリズムクイックリファレンス 第2版](https://www.oreilly.co.jp/books/9784873117850/)』オライリージャパン 2016年12月
- 『[初めてのPHP](https://www.oreilly.co.jp/books/9784873117935/)』オライリージャパン 2017年3月
- 『[Effective Debugging](https://www.oreilly.co.jp/books/9784873117997/)』オライリージャパン 2017年6月
- 『[スラスラわかるPython](http://www.shoeisha.co.jp/book/detail/9784798151090)』翔泳社 2017年8月
- 『[PythonとJavaScriptではじめるデータビジュアライゼーション](https://www.oreilly.co.jp/books/9784873118086/)』オライリージャパン 2017年8月
- 『[初めてのPerl 第7版](https://www.oreilly.co.jp/books/9784873118246/)』オライリージャパン 2018年1月
- 『[Head First Python 第2版](https://www.oreilly.co.jp/books/9784873118291/)』オライリージャパン 2018年3月
- 『[Pythonデータサイエンスハンドブック](https://www.oreilly.co.jp/books/9784873118413/)』オライリージャパン 2018年5月"
Artisanal Async Adventures,"If you want to write an efficient server, asynchronous networking is an excellent strategy to do so. To build a production ready system, you would use asyncio, tornado, twisted, trio or another popular implementation. However, to fully understand how and why it works, I will ignore these solutions and instead craft an artisanal asynchronous implementation in front of your very eyes. Step by step we will turn a blocking socket server, only capable of handling a single connection at a time, into a beautiful non blocking server that has no trouble dealing with many connections at once. By the end, you should see that asynchronous code is not magical at all, but nevertheless incredibly useful.",async,,,,,"I will live code in this talk, so I will need some sort of hands-free microphone. A microphone stand is perfectly fine.

I am aware that generally live-coding during a talk is considered a terrible idea, however I am confident in my ability to give this talk and have done so twice already. I also have backup solutions should there be a problem with my code."
Beyond JSON and XML: An introduction to Protocol Buffers and gRPC with Python,"When we start looking at the options that we have for inter-service communication, really we only have two options. The first and very popular option that a lot of people choose is RESTful, and the other ones are RPC. One of the difference is RESTful architectures are going to be sending plain text messages back and forth, as you might guess it mainly uses JSON and XML. RPC, on the other hand, is often going to leverage binary based messages. Now this gives RPC an advantage in many situations because binary messages are typically much smaller than text-based messages data. With all of these facts, Protocol Buffers and gRPC come in. Both created by Google to solve their problem in infrastructure application. Protocol Buffers has many advantages than JSON or XML. It fast, efficient, simpler. You only need focus to optimize your code to serialize, deserialize data and how much network bandwidth is being utilized. gRPC is a modern open-source high-performance RPC framework that can run in any environment. It by default using Protocol Buffers as a transport protocol. With two of these combine, gRPC and Protocol Buffers are the cross-platform and scalable framework to create your fast and efficient interservice communication application.","Python, Web, REST, API, RPC, JSON, Flask, Django, Web programming including frameworks (Django / Flask / Pylons etc.)",,,,,"The technical requirements for this talk are:
1. Familiar with Python Web Application, e.g., Flask, Django
2. Familiar with JSON and XML
3. Familiar with RESTful API and RPC"
Chaliceではじめるらくらくサーバーレスアプリ開発,"Chaliceを使ったサーバーレスアプリケーション開発の基本をデモを含めてご紹介します。

* サーバーレスアプリケーションとは
* Chaliceとは	 
	* APIバックエンドの構築
	* Chaliceを用いたデプロイ
	* CI/CDパイプラインの構築
* Demo
* サーバーレスアプリケーション開発のポイント","サーバーレス, AWS, クラウド",,,,,対象：Pythonによるサーバーレスアプリケーション開発に興味のある方
Creating amazing APIs in Flask with Flask RESTplus,"I have been using Flask with Flask RESTplus to create REST API based backend projects for around 3 years now. For those who don't know, Flask RESTplus is an amazing library for REST API development with features like automatic live documentation, input payload validation, neat code organization, automatic response marshaling and a lot of extensibility. You can easily extend it to include other features like response pagination, ETag caching, rate limiting, custom authentication and authorization system and basically anything else you can imagine. In this talk, I will share my hard gained knowledge with code snippets on how to quickly get started and do all these amazing things in Flask RESTplus. ","python, flask, flask-restplus, rest-api, Web programming including frameworks (Django / Flask / Pylons etc.)",,,,,"I would be doing a live demo so an Internet connection would be required.

I feel I am a good, if not the best person to speak on this topic because I have had a lot of experience using Python, Flask and Flask RESTplus for creating backend applications. I have used this technology in notable open source projects such as [Open Event Server](https://github.com/fossasia/open-event-server), with startups such as [HapRamp](http://hapramp.com/) and with prestigious clients as part of my contracting job at [Toptal](https://www.toptal.com/resume/avi-aryan). So I can confidently say that I am really good with it, and therefore suitable to speak on this topic."
Deep Learning Vision in vanilla Python: CNN - Framework = Vision in vanilla Python.,"This session would basically focus on python and it's ecosystem and how well it goes up with the current research paradigm shift that is happening due to the boom in Artificial intelligence. The session would help developers to amass the importance of mathematics and the ease that python provides in coding it, even from scratch. This would encourage the developers only to try more and more python programming for deep learning. For a nascent developer, this session packs in a high educational reward as he will be exposed to the mathematics behind the most successful algorithm of the past couple of decades.

This workshop aims to provide a look through the abstraction offered by big frameworks for developers to understand why mathematics behind data science is necessary yet, give them the insight into why abstraction is a key player in deep learning.

## Q. What can developers expect from this workshop!
1. Understand what are convolution neural networks
2. Why they work so well on image data?
3. All the different implementation of Convolution network and how they improve the vanilla network
4. What are the best ways to implement convolution network on a given data

## Q. What this workshop is not!
1. Just another workshop telling you to use frameworks
2. Mathematics will not be looked over. (It's important)

This session would provide a much-needed exposure to python programming language and how its ecosystem helps deep learning so well.","Python, Numpy, Deep Learning, Computer Vision",,,,,"_**First things first**_

The technical requirements of the talk would include:

- A room with wifi-availability

- Attendees would be provided a download script by me which they should run before the talk

# Q. Why you're the best person to speak on this subject?

I am the best one to speak on this subject because I have a lot of experience in the field of AI, especially Deep learning/ Machine learning. I'm an undergraduate research fellow at 2 separate institutes and have an understanding of fundamental concepts of reinforcement learning. I have reviewed a book on reinforcement learning and can code agents too.
Another, reason I would prove to be an excellent choice is that I can explain things well. I have mentored at 4-5 different occasions and have a good track record with students. I was in Standford Scholar initiative where I represented two paper which was related to deep learning only. Currently, I'm a student developer at Google Summer of Code and thus I can communicate the code well and make the audience understand better.

## A request.

I'm from New Delhi, the capital city of India, if PyCon JP gets interested in my talk, I would highly appreciate if I can receive an early decision so that I can plan an itinerary as soon as possible.

*I will upload the slides in a few days.*
"
Development with Python,"# ソフトウェア開発時の生産性を向上させるためのpython製ツールを紹介します
開発生産性を向上させるちょっと便利なPython製ツールを紹介します。

## 個別テーマ
- HTTP
  - httpbin, httpie
- SMTP
  - DebuggingServer
- MySQL
  - mycli
- git
- JSON
  - python -mjson.tool
- MITM
- Error Tracking
  - sentry
- etc","Python, DevTool",,,,,Contents チームスタッフなので、採択予備的なものです。あと応募者の気持ちを知りたかったので、応募してみました。
DIY IoT (Internet of Tums) Health Tracking,"The internet of things is here, but there are a ton more use cases than smart fridges and connected lights. I started with a cheap dev board, a button, some batteries, and a box of antacids but ended up with a detailed list of my symptoms that my doctor and I were able to use to get to the bottom of my condition. I'll walk through how I built a simple wi-fi connected TumsⓇ container that uses a combination of web APIs and serverless functions to log whenever I am feeling the burn. From the hardware, firmware and software, I'll talk about how Python can be used throughout the stack. Hopefully you will walk away with inspiration for some of the more niche use cases that simple and cheap IoT devices can solve _and_ the skills to build your own. ",Internet of Things,,,,,"I am somewhat new to Python, but have been working, tinkering & hacking in the IoT space for years, just usually in other languages. It has never been easier (or more fun!) for software engineers to make the jump to the real world and start playing around with the Internet of Things. I am happy to take notes on the topic if you want to scope it to something more complex (power saving for example, was a big part of this project) or go more in depth on a single aspect of the system. "
