id,キャンセル,名前,プロフィール/Your Profile,タイトル,トークの概要/Talk abstract,audience_level,発表資料の言語/Language of presentation materials,発表で使用する言語/Presentation language,発表日,時間,部屋,階数
1,0,福井 厚 Atsushi Fukui,2015年7月よりAWSでソリューション アーキテクトとして活動。DevOps、サーバーレス、コンテナ、モバイルなどAWS上でのソフトウェア開発を支援している。,「リモートペアプロでマントルを突き抜けろ！」AWS Cloud9でリモートペアプロ＆楽々サーバーレス開発,AWS Cloud9によるリモートペアプロの実演とAWS Lambdaファンクションの開発方法のご紹介,All,日本語のみ/Japanese Only,日本語/Japanese,2日目,11:15 - 12:00,C会議室,6F
2,0,新倉 涼太,ニジボックスで主にwebアプリの開発をしている、エンジニア7年生。今回は業務関係ない個人研究のネタにて参戦,1次元畳み込みフィルターを利用した音楽データのオートエンコーダ,音は空気の振動することで作られる。音楽は特定の楽器によって演奏されているため、その空気振動からパターンを抽出することで、特徴量を抽出し、音楽データを圧縮することができると考えた。今回は1次元の畳み込みフィルタを使い機械学習的な手法により、音楽データの圧縮を試みた。,All,日本語のみ/Japanese Only,日本語/Japanese,2日目,15:45 - 16:15,小展示ホール,2F
3,0,Mehul Patel,"Mehul is a Developer Tech by profession, an open source enthusiast and a maker by heart.",Adding JWT Authentication to Python and Django REST Framework Using Auth0,"Setting up an authentication layer is, without a doubt, one of the most challenging yet necessary tasks within any web application.",All,English Only,英語/English,2日目,15:45 - 16:15,コンベンションホール 梅,4F
4,0,長谷場 潤也,主食はAndroid。主菜はWebバックエンド。副菜はWebフロントエンド。3時のおやつはスクレイピング。,AltJSとしてのPython - フロントエンドをPythonで書こう,PythonをJavaScriptに変換するTranscryptの機能を、jQuery、React Native等との連携方法を交えて紹介します。明日からPythonでフロントエンドを書きましょう。,Beginner,English Only,日本語/Japanese,2日目,16:30 - 17:00,D会議室,6F
5,0,Denys Makogon,"Developer advocate, blogger, photographer, traveller, conference guy.
",Applying serverless architecture pattern to distributed data processing,In this talk we will go through whole “serverless” thing: from decomposing app and its logic to microservices and further to smaller bits.,Intermediate,English Only,英語/English,1日目,13:30 - 14:15,特別会議室,3F
6,0,Kajal Puri,,Build text classification models ( CBOW and Skip-gram) with FastText in python,,All,,,2日目,13:30 - 14:15,コンベンションホール 鶯,4F
7,0,"Yuan-Che, Wonder, Chang","Wonder Chang, a Software Engineer from Taiwan.",Building Maintainable Python Web App using Flask,This talk will demonstrate how to build a maintainable web application with Flask.,Intermediate,English Only,英語/English,1日目,14:30 - 15:15,A+B会議室,1F
8,0,Dror Ayalon,"Dror Ayalon is a software engineer, product manager, and interaction designer.",Creative Music Applications in Python,"The goal of this talk is to introduce attendees to tools and projects, that could be used to build creative music applications.",All,English Only,英語/English,1日目,16:30 - 17:00,小展示ホール,2F
9,0,末田卓巳,"GROOVE X, Inc. 在籍。LinuxやFPGAなど低レイヤーを主に担当。",C拡張と共に乗り切るPython 2→3移行術,弊社での事例を元に、C拡張入りのパッケージを2/3両対応化する手法を紹介します。,Advanced,日本語のみ/Japanese Only,日本語/Japanese,2日目,15:45 - 16:15,D会議室,6F
10,1,Alizishaan Khatri,,Detecting offensive messages using Deep Learning: A micro-service based approach,,All,,,2日目,14:30 - 15:00,コンベンションホール 梅,4F
11,0,芝田 将,github: @c-bata. twitter: @c_bata_. 共訳書 エキスパートPythonプログラミング 改訂2版.,Django REST Framework におけるAPI実装プラクティス,Django REST Frameworkの公式ドキュメントは、非常にわかりやすくまとまっていますが、実際に業務で使おうとすると考えないといけないことはまだまだあります。本セッションでは、APIのRate Limitの実装などドキュメントで詳しく触れられていない実装プラクティス等を解説します。,Intermediate,日本語のみ/Japanese Only,日本語/Japanese,1日目,14:30 - 15:15,特別会議室,3F
12,0,向山 裕介 (Yusuke Mukoyama),,Django を Zappaで構築してServerless Python のベストプラクティスを探る,,Intermediate,,,2日目,16:30 - 17:00,A+B会議室,1F
13,0,Yasuaki Matsuda,好きな言葉はトイル(撲滅)です。株式会社アイリッジに所属しています。,Djangoアプリケーションにおけるトイル撲滅戦記,トイルとは手作業で繰り返し行われ自動化することが可能であり、戦略的で長期的な価値を持たず作業量がサービス成長に比例するものです。この発表を聞くとアプリケーションをSRE観点で改善できるようになります。,All,日本語のみ/Japanese Only,日本語/Japanese,2日目,13:30 - 14:15,コンベンションホール 梅,4F
14,0,denzow,scoutyという会社ででDBやバックエンドを中心に活動している、Djangoが好きなエンジニアです。,Djangoだってカンバンつくれるもん(Django Channels + Vue),DjangoのライブラリであるDjango Channelsを使用して、Websocketを使ったアプリケーションの構築についてお話します。TrelloのようなカンバンアプリケーションをVue.jsと組み合わせて作成した際の話が中心になります。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,13:30 - 14:15,特別会議室,3F
15,0,Kashun Yoshida,BeProudに所属するSoftware Developer。業務ではWebアプリケーション全般の開発を行う。プライベートではOSSのドキュメント翻訳にも携わる。,DjangoではじめるPyCharm実践入門,Pythonの開発をサポートするエディタや統合開発環境はさまざまですが、PyCharmはその中でも使いやすいツールの一つです。ここではDjangoを題材にして、そんなPyCharmの便利なポイントや使い方を紹介します。,All,日本語と英語/Japanese and English,日本語/Japanese,1日目,13:30 - 14:15,C会議室,6F
16,0,Iskandar Setiadi,"I am an Indonesian software engineer working for HDE, Inc. in Tokyo, Japan.",From Data to Web Application: Anime Character Image Recognition with Transfer Learning,"In this talk, we will take a 30-minute journey converting raw data of anime character images to a web application with image recognition capability.",Intermediate,English Only,英語/English,2日目,15:45 - 16:15,A+B会議室,1F
17,0,Michael Penkov,"Developer based in Sapporo. Writes code in ViM, rarely leaves the command line.",Fun with Python and Kanji,Kanji is hard to learn because there are thousands of characters. This talk brings Python and graph theory to the rescue.,All,English Only,英語/English,1日目,15:45 - 16:15,小展示ホール,2F
18,0,Yuki Takino,長野のIT会社、日本システム技研 / クリエイティブアーキテクト。普段はPython/DjangoでWeb開発。,HomeSecurity with Python,このトークではIoTに焦点を当てて、身近な自宅でのセキュリティをPythonで構築した例をもとにIoTの開発事例を紹介します。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,11:15 - 12:00,D会議室,6F
